category_id,content_code,is_up_to_date
4,CONTENT_00001001,0
5,CONTENT_00001001,0
6,CONTENT_00000001,0
9,CONTENT_00000001,0
1,CONTENT_00000002,1
5,CONTENT_00000002,1
9,CONTENT_00000003,1
1,CONTENT_00000003,1
2,CONTENT_00000004,1
10,CONTENT_00000005,1
9,CONTENT_00000005,1
5,CONTENT_00000006,1
7,CONTENT_00000006,1
6,CONTENT_00000007,1
10,CONTENT_00000007,1
2,CONTENT_00000008,1
4,CONTENT_00000009,1
6,CONTENT_00000009,1
6,CONTENT_00000010,1
10,CONTENT_00000010,1
10,CONTENT_00000011,1
5,CONTENT_00000012,1
6,CONTENT_00000012,1
9,CONTENT_00000013,1
2,CONTENT_00000013,1
4,CONTENT_00000013,1
1,CONTENT_00000014,1
7,CONTENT_00000014,1
2,CONTENT_00000014,1
9,CONTENT_00000015,1
9,CONTENT_00000016,1
5,CONTENT_00000016,1
1,CONTENT_00000016,1
3,CONTENT_00000017,1
6,CONTENT_00000017,1
5,CONTENT_00000017,1
1,CONTENT_00000018,1
2,CONTENT_00000018,1
4,CONTENT_00000019,1
8,CONTENT_00000019,1
3,CONTENT_00000020,1
5,CONTENT_00000020,1
2,CONTENT_00000020,1
3,CONTENT_00000021,1
1,CONTENT_00000021,1
8,CONTENT_00000022,1
4,CONTENT_00000022,1
4,CONTENT_00000023,1
3,CONTENT_00000024,1
8,CONTENT_00000025,1
2,CONTENT_00000026,1
5,CONTENT_00000026,1
8,CONTENT_00000026,1
6,CONTENT_00000027,1
7,CONTENT_00000027,1
3,CONTENT_00000027,1
6,CONTENT_00000028,1
1,CONTENT_00000028,1
7,CONTENT_00000029,1
3,CONTENT_00000029,1
3,CONTENT_00000030,1
9,CONTENT_00000030,1
10,CONTENT_00000031,1
2,CONTENT_00000031,1
9,CONTENT_00000032,1
7,CONTENT_00000033,1
8,CONTENT_00000033,1
4,CONTENT_00000034,1
8,CONTENT_00000034,1
1,CONTENT_00000035,1
5,CONTENT_00000035,1
3,CONTENT_00000036,1
2,CONTENT_00000036,1
8,CONTENT_00000037,1
6,CONTENT_00000037,1
5,CONTENT_00000037,1
4,CONTENT_00000038,1
9,CONTENT_00000038,1
6,CONTENT_00000038,1
4,CONTENT_00000039,1
9,CONTENT_00000040,1
8,CONTENT_00000040,1
2,CONTENT_00000040,1
6,CONTENT_00000041,1
9,CONTENT_00000041,1
1,CONTENT_00000041,1
5,CONTENT_00000042,1
1,CONTENT_00000042,1
10,CONTENT_00000042,1
5,CONTENT_00000043,1
4,CONTENT_00000043,1
5,CONTENT_00000044,1
3,CONTENT_00000044,1
8,CONTENT_00000044,1
9,CONTENT_00000045,1
4,CONTENT_00000045,1
4,CONTENT_00000046,1
5,CONTENT_00000046,1
7,CONTENT_00000046,1
6,CONTENT_00000047,1
7,CONTENT_00000047,1
10,CONTENT_00000047,1
9,CONTENT_00000048,1
2,CONTENT_00000048,1
7,CONTENT_00000049,1
1,CONTENT_00000050,1
4,CONTENT_00000051,1
9,CONTENT_00000052,1
3,CONTENT_00000052,1
9,CONTENT_00000053,1
10,CONTENT_00000054,1
3,CONTENT_00000054,1
8,CONTENT_00000055,1
7,CONTENT_00000056,1
1,CONTENT_00000056,1
10,CONTENT_00000057,1
6,CONTENT_00000057,1
7,CONTENT_00000058,1
3,CONTENT_00000059,1
7,CONTENT_00000060,1
2,CONTENT_00000060,1
4,CONTENT_00000061,1
3,CONTENT_00000061,1
10,CONTENT_00000061,1
6,CONTENT_00000062,1
1,CONTENT_00000062,1
2,CONTENT_00000063,1
9,CONTENT_00000064,1
10,CONTENT_00000064,1
1,CONTENT_00000064,1
4,CONTENT_00000065,1
8,CONTENT_00000065,1
5,CONTENT_00000065,1
6,CONTENT_00000066,1
10,CONTENT_00000066,1
3,CONTENT_00000066,1
2,CONTENT_00000067,1
4,CONTENT_00000068,1
7,CONTENT_00000068,1
3,CONTENT_00000068,1
9,CONTENT_00000069,1
8,CONTENT_00000069,1
6,CONTENT_00000069,1
3,CONTENT_00000070,1
10,CONTENT_00000071,1
4,CONTENT_00000071,1
9,CONTENT_00000071,1
1,CONTENT_00000072,1
4,CONTENT_00000072,1
5,CONTENT_00000072,1
9,CONTENT_00000073,1
4,CONTENT_00000073,1
5,CONTENT_00000073,1
2,CONTENT_00000074,1
5,CONTENT_00000075,1
8,CONTENT_00000075,1
8,CONTENT_00000076,1
2,CONTENT_00000076,1
7,CONTENT_00000077,1
9,CONTENT_00000078,1
5,CONTENT_00000078,1
4,CONTENT_00000078,1
1,CONTENT_00000079,1
8,CONTENT_00000079,1
10,CONTENT_00000079,1
9,CONTENT_00000080,1
7,CONTENT_00000080,1
5,CONTENT_00000080,1
9,CONTENT_00000081,1
6,CONTENT_00000081,1
9,CONTENT_00000082,1
9,CONTENT_00000083,1
4,CONTENT_00000083,1
2,CONTENT_00000084,1
7,CONTENT_00000085,1
9,CONTENT_00000086,1
7,CONTENT_00000086,1
7,CONTENT_00000087,1
3,CONTENT_00000088,1
5,CONTENT_00000088,1
5,CONTENT_00000089,1
1,CONTENT_00000089,1
6,CONTENT_00000090,1
4,CONTENT_00000090,1
3,CONTENT_00000090,1
3,CONTENT_00000091,1
2,CONTENT_00000092,1
5,CONTENT_00000093,1
8,CONTENT_00000093,1
4,CONTENT_00000094,1
4,CONTENT_00000095,1
2,CONTENT_00000095,1
8,CONTENT_00000095,1
3,CONTENT_00000096,1
8,CONTENT_00000096,1
1,CONTENT_00000096,1
1,CONTENT_00000097,1
2,CONTENT_00000098,1
7,CONTENT_00000099,1
5,CONTENT_00000100,1
9,CONTENT_00000100,1
7,CONTENT_00000100,1
1,CONTENT_00000101,1
6,CONTENT_00000101,1
9,CONTENT_00000102,1
6,CONTENT_00000102,1
4,CONTENT_00000103,1
5,CONTENT_00000103,1
7,CONTENT_00000104,1
3,CONTENT_00000104,1
1,CONTENT_00000104,1
2,CONTENT_00000105,1
4,CONTENT_00000105,1
6,CONTENT_00000106,1
2,CONTENT_00000107,1
9,CONTENT_00000107,1
6,CONTENT_00000107,1
3,CONTENT_00000108,1
4,CONTENT_00000108,1
2,CONTENT_00000109,1
1,CONTENT_00000110,1
9,CONTENT_00000111,1
10,CONTENT_00000111,1
5,CONTENT_00000111,1
1,CONTENT_00000112,1
9,CONTENT_00000113,1
3,CONTENT_00000113,1
7,CONTENT_00000114,1
3,CONTENT_00000114,1
8,CONTENT_00000114,1
10,CONTENT_00000115,1
4,CONTENT_00000116,1
2,CONTENT_00000116,1
7,CONTENT_00000117,1
2,CONTENT_00000117,1
8,CONTENT_00000118,1
2,CONTENT_00000118,1
10,CONTENT_00000119,1
9,CONTENT_00000119,1
3,CONTENT_00000120,1
9,CONTENT_00000121,1
8,CONTENT_00000121,1
9,CONTENT_00000122,1
7,CONTENT_00000122,1
5,CONTENT_00000122,1
3,CONTENT_00000123,1
7,CONTENT_00000123,1
10,CONTENT_00000124,1
1,CONTENT_00000124,1
4,CONTENT_00000124,1
3,CONTENT_00000125,1
7,CONTENT_00000125,1
10,CONTENT_00000125,1
6,CONTENT_00000126,1
1,CONTENT_00000126,1
5,CONTENT_00000127,1
6,CONTENT_00000127,1
1,CONTENT_00000128,1
5,CONTENT_00000128,1
3,CONTENT_00000128,1
5,CONTENT_00000129,1
9,CONTENT_00000129,1
8,CONTENT_00000130,1
10,CONTENT_00000130,1
5,CONTENT_00000131,1
2,CONTENT_00000131,1
1,CONTENT_00000132,1
2,CONTENT_00000132,1
5,CONTENT_00000133,1
6,CONTENT_00000134,1
8,CONTENT_00000134,1
7,CONTENT_00000135,1
10,CONTENT_00000136,1
2,CONTENT_00000136,1
9,CONTENT_00000137,1
2,CONTENT_00000137,1
7,CONTENT_00000137,1
