user_code,age_group_id,gender_id,country_id,subscription_status_id,name,email,signup_date,district,city,postal_code,street_address,is_up_to_date
USER_00000001001,2,1,3,1,João Silva,joao.silva@example.com,2024-05-01,Lisboa,Lisboa,1000-001,"Rua das Flores, 25",0
USER_00000000202,8,2,9,2,Andrew Morris,dhooper@example.net,2020-11-15,Idaho,Danielbury,32130,1510 Martinez River,1
USER_00000000371,8,2,9,1,Lori Bell,swilliams@example.net,2024-01-01,Nevada,Danielletown,86667,739 Morales Drive,1
USER_00000000728,9,2,3,3,Joseph West,bryan40@example.net,2025-03-18,Iowa,Sarafort,05929,52329 Sally Way,1
USER_00000000642,7,1,9,2,Rebecca Walton,ocampbell@example.com,2022-05-14,Nevada,Hoville,95213,763 Renee Plain,1
USER_00000000001,3,2,5,2,Updated Name A,updateda@example.com,2024-06-01,Porto,Porto,4000-123,"Av. da Liberdade, 100",0
USER_00000000002,5,1,3,2,Ethan Mitchell,merrittjames@example.org,2022-01-04,Colorado,Yatesport,57900,8518 Matthew Bridge,1
USER_00000000003,1,2,1,1,James Gallegos,vhuang@example.org,2023-12-20,New York,Shannonchester,53241,7815 Jimenez Spring Apt. 880,1
USER_00000000004,1,2,2,1,Lauren Trevino,lindseymiller@example.net,2021-09-01,Ohio,Grantberg,94263,479 Robin River,1
USER_00000000005,6,3,5,3,Dana Potter,dcalderon@example.net,2022-06-21,Hawaii,East Joel,91639,871 Camacho Hills,1
USER_00000000006,5,2,11,2,Lisa Hoffman,julie81@example.org,2025-05-03,California,Greenport,13545,392 Norton Plain Suite 294,1
USER_00000000007,9,2,8,3,Rebecca Gregory,jose42@example.com,2023-12-08,Pennsylvania,Brianaland,91562,376 Brown Springs Apt. 505,1
USER_00000000008,5,3,1,3,Sarah Morris,roymartinez@example.com,2021-08-15,Alabama,South Amanda,11944,44519 Brittany Port,1
USER_00000000009,7,2,2,3,Brad Koch,xgriffin@example.org,2020-11-24,Indiana,Royland,18562,0596 Willis Harbor,1
USER_00000000010,4,3,1,1,Christopher Jones,qnelson@example.net,2022-04-08,Wyoming,Port Heather,12515,457 Joanne Land,1
USER_00000000011,2,1,5,1,Dr. Sean Farmer,patrickcastillo@example.com,2022-01-25,Mississippi,Port William,12246,39035 Andrew Canyon,1
USER_00000000012,5,2,9,3,Timothy Cruz,cpitts@example.org,2025-05-05,Alaska,Dayfort,71824,86540 Jessica Plains Apt. 298,1
USER_00000000013,3,1,7,1,Nicole May,walshryan@example.net,2023-11-03,New Hampshire,South Jeremyfort,11205,635 Maynard Divide,1
USER_00000000014,1,2,3,2,Kimberly Sparks,coopercarol@example.net,2022-08-03,South Carolina,Lake David,39807,2177 Camacho Springs,1
USER_00000000015,8,3,2,3,Jamie Pham,dawn10@example.net,2021-08-13,Texas,Washingtonmouth,23049,181 Chapman Neck Apt. 515,1
USER_00000000016,6,2,9,3,Randy Lawrence,leekaren@example.net,2022-01-14,Idaho,South Timothyfort,88435,429 Christine Valleys,1
USER_00000000017,5,3,7,3,Henry Pollard,rodgersannette@example.com,2023-07-04,Massachusetts,New Michaelside,65728,89383 Reynolds Extension Apt. 315,1
USER_00000000018,8,1,6,2,James Horne,psimmons@example.org,2025-01-27,Oklahoma,Josefurt,73653,441 Moreno Vista Suite 805,1
USER_00000000019,7,1,8,2,Kristen Hunter,murraychristopher@example.net,2021-01-06,Tennessee,Lucasmouth,43705,59100 Mark Lake,1
USER_00000000020,8,1,7,3,Mrs. Patricia Fleming,jjohnson@example.com,2023-03-14,Washington,Berryhaven,01156,155 Cox Ways,1
USER_00000000021,7,1,2,3,Colleen Austin,youngronald@example.com,2022-06-25,Rhode Island,Hallberg,98890,0474 David Mission Suite 320,1
USER_00000000022,4,1,9,2,Rhonda Brown,tammysawyer@example.org,2021-05-16,Utah,Laurieburgh,98216,09014 Ballard Way,1
USER_00000000023,8,2,4,2,Jeffrey Baird,alexandra39@example.org,2024-10-17,North Dakota,Brandonmouth,71436,0976 Corey View,1
USER_00000000024,8,3,9,2,Tracy Strickland,arthurclarke@example.org,2022-05-31,New Mexico,Valeriestad,80920,155 Raymond Valleys Suite 784,1
USER_00000000025,6,1,3,3,Caleb Ashley,stefanieware@example.org,2021-04-24,North Dakota,Lake Jacobfurt,91166,153 Hawkins Wall,1
USER_00000000026,1,3,10,3,Cassie Williams,nbaldwin@example.net,2021-12-26,Colorado,South David,72290,7787 Rodriguez Drives Suite 628,1
USER_00000000027,5,3,2,3,Spencer Gray,kristen67@example.net,2023-03-06,Alabama,Jordanside,81682,1205 Travis Junctions Suite 796,1
USER_00000000028,1,3,6,3,Christopher Ford,williamsrobert@example.net,2023-01-22,Delaware,Estradafurt,96898,17326 Kyle Estates,1
USER_00000000029,6,3,6,2,Peter Smith,tkim@example.org,2024-04-28,New York,New Robert,97181,731 Whitney Ways Suite 224,1
USER_00000000030,9,3,8,1,Christopher Taylor,jason51@example.com,2024-02-14,South Dakota,South Jeremiahberg,22434,52463 Amy Spurs Suite 642,1
USER_00000000031,2,2,6,3,Ashley Khan,jsanchez@example.com,2024-11-05,Alabama,Kevinstad,10237,3790 Green Divide Suite 460,1
USER_00000000032,3,2,3,3,Samantha Kane,jhill@example.com,2022-06-21,Massachusetts,Youngstad,25528,256 Samuel Burgs Apt. 468,1
USER_00000000033,2,3,4,1,David Thompson,todd83@example.org,2023-01-19,North Carolina,New Michael,39567,749 Misty Overpass,1
USER_00000000034,2,2,6,1,Michele Hudson,martinezjeffery@example.org,2021-04-16,Nevada,East Danielchester,47052,85594 Smith Mount Suite 110,1
USER_00000000035,9,1,4,1,John Rogers,zachary75@example.org,2020-12-21,New Jersey,Lake April,47259,56902 Brandon Locks,1
USER_00000000036,6,3,5,2,Joseph Clark,mcdonaldjeffrey@example.org,2024-05-13,California,West Vanessamouth,10664,690 Wells Circle,1
USER_00000000037,3,2,5,2,Brent Cruz,hmyers@example.net,2021-11-08,Washington,East Charlesborough,43118,57058 Michael Highway,1
USER_00000000038,5,3,3,2,Christopher Montes DDS,leahmaddox@example.com,2023-05-18,Vermont,Michellestad,04870,33808 Jones Forks Suite 890,1
USER_00000000039,5,1,6,3,Scott Tran,debrafoster@example.net,2022-04-11,Colorado,Port Davidville,33556,504 Hutchinson Path,1
USER_00000000040,1,1,6,3,Chris Hamilton,susan27@example.net,2024-12-17,Kansas,Tomport,26830,7449 Williams Port Apt. 089,1
USER_00000000041,5,3,7,1,Jordan Fernandez,jasonbyrd@example.net,2022-04-05,Vermont,Yangfort,31323,9226 Herman Groves,1
USER_00000000042,8,3,11,3,Kellie Doyle,kevin44@example.net,2021-07-02,Oklahoma,Triciafort,74635,668 Jason Manors Suite 198,1
USER_00000000043,5,2,8,1,Paul Washington,joseph12@example.net,2025-02-14,Kentucky,Adamsbury,34825,46883 Melton Fort Apt. 342,1
USER_00000000044,1,1,5,2,Julia Medina,danielle38@example.org,2022-03-29,Indiana,New Beckyfurt,00620,2576 Phelps Locks Suite 031,1
USER_00000000045,5,2,5,3,Michael Cox,paige36@example.org,2021-12-29,Kentucky,West Georgestad,95005,5547 William Vista Suite 496,1
USER_00000000046,3,2,5,2,Christine Jones,michele61@example.com,2025-03-15,West Virginia,Laurenville,19310,76707 Salinas Dale Suite 652,1
