USER_ID,AGE_GROUP_ID,GENDER_ID,COUNTRY_ID,SUBSCRIPTION_STATUS_ID,NAME,EMAIL,SIGNUP_DATE
1,8,1,1,3,Alexander Olsen,iarmstrong@example.com,2024-11-03
2,1,3,11,2,Joseph Vega,scox@example.net,2022-07-17
3,5,2,6,2,Terry Gonzalez,johnsonderek@example.com,2021-10-11
4,9,2,6,2,Angel Briggs,hollandalexander@example.org,2023-02-02
5,6,1,9,2,Melissa Price,amydavis@example.net,2022-08-20
6,5,2,9,1,Jesse Young,dhurley@example.net,2020-08-22
7,6,3,8,3,Chad Thomas,david55@example.com,2022-10-28
8,4,1,1,1,Erika Sherman,holly10@example.net,2023-04-07
9,3,1,10,3,Robert Smith,davidsonbobby@example.com,2023-12-02
10,6,2,7,1,Cindy York,joneill@example.org,2020-09-12
11,5,2,10,2,Courtney Salazar,mariamiller@example.net,2020-10-15
12,8,2,2,2,Jason Fisher,tgonzales@example.org,2023-11-29
13,1,1,2,3,Susan Ware,danieljohnson@example.org,2020-09-08
14,2,1,1,1,Laura Jackson,zachary83@example.net,2021-06-10
15,6,1,2,1,Cindy Evans,ustewart@example.com,2022-05-24
16,6,3,5,1,Miss Donna Smith DDS,danamaddox@example.net,2022-05-31
17,8,3,7,1,Duane Grimes,justinli@example.net,2021-03-30
18,4,3,11,3,Jay Odom,conwaycheyenne@example.net,2025-04-13
19,2,2,1,3,Nicholas Vargas,khowell@example.org,2021-07-29
20,4,2,11,3,Melissa Hutchinson,claireking@example.com,2024-12-08
21,3,3,1,3,Crystal Smith,jenna06@example.org,2022-03-09
22,8,2,5,3,James Ellis,christopher18@example.com,2023-07-06
23,4,1,9,3,Daniel Harvey,rodriguezcarol@example.org,2020-05-04
24,7,2,6,1,Arthur Adams,fernandezsamuel@example.net,2022-05-05
25,3,2,10,3,Anita Kidd,tom28@example.com,2021-08-19
26,5,3,9,1,Eric Gibbs,aaronvega@example.net,2024-09-23
27,8,3,3,1,Joshua Hopkins,kristen69@example.org,2021-12-01
28,4,1,1,2,Jennifer Moore,monica14@example.org,2024-03-24
29,7,1,9,1,John Ortiz,danielle68@example.com,2025-03-03
30,6,2,8,3,William Howard,coffeylaura@example.org,2021-04-07
31,7,1,1,2,Connie Farrell,michael84@example.net,2024-06-07
32,5,1,4,1,David Taylor,zbrooks@example.com,2022-11-20
33,3,1,4,2,Gina Jackson,stephaniemurphy@example.org,2022-05-04
34,7,3,8,2,Jessica Price,randy61@example.net,2025-01-10
35,8,3,11,1,William Skinner,roberta25@example.com,2022-07-08
36,1,1,10,3,Shannon Suarez,mariaaguilar@example.org,2022-06-28
37,2,2,11,2,Amber Griffin,nicholasevans@example.net,2023-09-04
38,7,1,11,1,Heidi Hahn,holmeskaren@example.net,2024-05-14
39,7,3,2,2,Sarah Hamilton,caseystephanie@example.net,2021-08-22
40,5,1,4,2,Anthony Barker,valentinenicolas@example.com,2021-11-01
41,8,3,7,3,Holly Hernandez,evan95@example.net,2024-03-25
42,9,3,3,3,David Mason,qthompson@example.net,2021-05-27
43,1,1,6,2,Michael Johnson,mallory96@example.net,2021-08-10
44,7,1,2,2,Gary Nelson,rmartin@example.com,2024-03-24
45,1,3,8,2,Anne Thomas,diazjane@example.org,2021-10-19
46,4,2,11,3,Christina Martinez,adrian91@example.org,2020-07-08
47,9,3,4,1,Kelly Quinn,samanthasawyer@example.com,2023-04-30
48,8,3,1,1,Aaron Moore,matthewwu@example.org,2021-11-27
49,8,1,4,1,Mike Mcintosh,kgreen@example.net,2024-07-18
50,3,3,11,3,Tina Brown,jillrogers@example.com,2021-10-30
51,3,3,2,3,Brian Benjamin,joshuaharris@example.net,2022-01-04
52,9,2,8,3,Norma Thomas,bhughes@example.net,2021-05-19
53,6,1,11,2,Julie Stone,rodriguezrandy@example.net,2023-07-28
54,1,3,10,2,Stephanie Leach,hermanjessica@example.net,2024-12-04
55,8,1,4,3,Sergio Wagner,andrademary@example.net,2021-12-17
56,5,3,10,2,Christine Ramirez,leejennifer@example.net,2024-02-28
57,9,1,9,2,Melissa Smith,heatherbennett@example.org,2021-02-01
58,9,1,9,2,Susan Shields,robert70@example.org,2024-09-09
59,1,2,1,3,Brian Archer,mooremichael@example.org,2022-12-29
60,4,1,8,1,George Mata,vaughnerin@example.com,2021-06-11
61,3,3,3,2,Robert Moody,deborah16@example.com,2021-04-14
62,7,3,4,1,Jennifer Cantu,xmccarty@example.com,2023-04-10
63,7,1,10,2,Karina Mckee,holtheather@example.com,2023-12-28
64,7,3,5,3,Alyssa Gonzalez,nathan42@example.com,2023-03-30
65,9,2,4,2,David Smith,jose69@example.com,2024-09-01
66,4,3,6,3,Alexis Hopkins,kristy69@example.com,2022-07-19
67,7,1,6,3,Danielle Flores,lwilliams@example.com,2022-08-12
68,1,2,11,1,Lacey Adkins,waynemccarty@example.net,2024-01-24
69,7,3,9,1,John French,shawnjohnson@example.com,2022-03-30
70,5,1,7,3,Ashley Weiss,hgreen@example.org,2020-06-17
71,2,2,9,1,Eric Martinez,jwarren@example.com,2023-05-19
72,1,3,6,3,Monique Daniels,derekwilliamson@example.com,2023-07-20
73,5,2,9,3,Patricia Kramer,youngheather@example.com,2023-11-19
74,7,3,5,1,Karen Shelton,bhuffman@example.net,2022-07-05
75,9,3,10,1,Derek Mejia,dstevens@example.net,2024-11-05
76,1,2,11,3,Troy Ramirez,ningram@example.net,2024-04-11
77,4,3,6,3,Seth Mitchell,franklinryan@example.org,2021-09-12
78,4,1,1,3,Bonnie Wise,elizabeth67@example.org,2021-09-04
79,7,1,5,1,Erin Short,wmontoya@example.net,2025-04-01
80,2,3,3,3,Michael Davis,freemansarah@example.com,2021-07-14
81,9,2,5,1,Michael Gonzalez,vlarson@example.org,2023-01-18
82,7,2,7,2,Jason Scott,victor33@example.com,2021-05-18
83,3,2,5,3,Jason Smith,kbutler@example.net,2023-09-02
84,1,2,1,2,Joseph Brooks,griffinsharon@example.org,2022-04-15
85,7,3,9,2,Colleen Hutchinson,donald36@example.org,2021-07-29
86,1,2,7,3,Rebecca Jordan,qrusso@example.net,2024-11-28
87,5,2,10,1,James Johnson,spencer40@example.net,2021-01-26
88,8,3,4,1,Christopher Caldwell,michaelsanchez@example.com,2020-09-10
89,2,3,9,1,Taylor Glenn,jenny66@example.com,2025-02-07
90,9,3,3,1,Nicholas Wagner,jamiesalas@example.com,2023-05-09
91,3,2,4,3,Robert Santos,lwashington@example.com,2021-09-07
92,9,2,1,3,April Graham,bclark@example.org,2024-05-14
93,9,3,4,1,Karla Price,rjones@example.org,2020-10-31
94,4,1,2,2,Michael Anderson,acrawford@example.net,2023-01-26
95,2,3,11,2,Tina Ball,doriscox@example.com,2020-10-27
96,7,3,6,3,Kevin Fleming,alicialynn@example.com,2022-10-18
97,9,3,10,1,Michael Chung,adamjohnson@example.org,2022-12-29
98,1,3,9,2,Lisa Moreno,sanchezeric@example.com,2021-09-22
99,7,2,2,3,Pamela Hunter,stevenlane@example.net,2023-03-19
100,9,1,5,3,Brandon Frederick,eric88@example.net,2023-03-12
